Pseudo,Title,Review,Rating,Verified Purchase,Date,Score,Compound,Sentiment,New rating,New date,Country
lelayna75,need,purchased replace year old asus use general web surfing social media emailing photo retouching wordpowerpointexcel projectsthis hp need windows much user friendly windows speed machine operates phenomenal starts quick holds charge hoursbest lightweight thin traveling breezebonus bluetooth compatible makeanswer phone calls check text messages phone next roomanother bonus numeric keypadthe thing make better back lit keyboard not sweat small stuff,5.0 out of 5 stars,Yes,"Reviewed in the United States on December 2, 2021","{'neg': 0.0, 'neu': 0.961, 'pos': 0.039, 'compound': 0.5837}",0.5837,positive,5.0,2021-02-12,United States
Ms. V,read reviews,lol star reviews people connect wi fi use brand figure hp know use learn use buy support months yesterday couldn connect wi fi blamed wondered purchased warranty didn start read reviews tried figuring wi fi isn connecting via cell phone take learn lot innards successfully connecting wi fi typing review wi fi problem nothing actually helped fix via diagnostics program great superfast pages load instantly something wasn use previous laptops plenty space stuff form photos videos family trees also husband business program logs documents files happy buy therefore star review,5.0 out of 5 stars,Yes,"Reviewed in the United States on May 18, 2022","{'neg': 0.027, 'neu': 0.865, 'pos': 0.108, 'compound': 0.9564}",0.9564,positive,5.0,2022-05-18,United States
laphamazon,great low price,dont issue screen display issue connecting microsoft account store worked right box things first usethe keyboard backlit display use night time tho keyboard little bit confusing many buttons unnecessary people dont use much extra things thats keyboard screen bigger think good way tho happy dont use business use study online classes general browsing youtube dont know satisfy business users require internal storage powerful ram satisfied first personal speak experience preference suggestion buy directly amazon not marketplace sellers need customize specifications suggest buy bestbuy manufacturers happy shopping ,5.0 out of 5 stars,Yes,"Reviewed in the United States on May 3, 2022","{'neg': 0.013, 'neu': 0.862, 'pos': 0.125, 'compound': 0.9786}",0.9786,positive,5.0,2022-03-05,United States
Laura Fritz,performance really good,honestly scared buy many bad reviews im glad arrive early good quality im love gaming also played performed youre think dont listen people trolls trying make not buy,5.0 out of 5 stars,Yes,"Reviewed in the United States on May 22, 2022","{'neg': 0.046, 'neu': 0.678, 'pos': 0.277, 'compound': 0.9744}",0.9744,positive,5.0,2022-05-22,United States
Amazon Customer,need quick,like hp products not exception earlier older slower heavier died zoom meetings research time order placed surprised days later new handling like working great chrome many files stored,5.0 out of 5 stars,Yes,"Reviewed in the United States on November 22, 2021","{'neg': 0.048, 'neu': 0.804, 'pos': 0.147, 'compound': 0.7506}",0.7506,positive,5.0,2021-11-22,United States
Fuse,perfect fit,pleased easy transferring filesphotos etc old senior limited times dealing technology since keep records vault recovery files critical retaining medical financial photo etc important not lose old zero memory available able link use laptops transfer files little effort happy purchase,4.4 out of 5 stars,Yes,"Reviewed in the United States on February 12, 2022","{'neg': 0.03, 'neu': 0.847, 'pos': 0.122, 'compound': 0.8576}",0.8576,positive,4.4,2022-12-02,United States
Ginger,excellent price,judging always keep price mindfirst consis gaming graphics adapter isn intended purpose housing suitable eg children toss around electronics without regard durability cheap plastic buy expect use purposes matte screen isn brightest sound quality isn immersive optical drivenow prosthe price windows though isn gaming use adobe cs software issues premiere pro photoshop audition rendering video isn super speedy isn unreasonable extremely doubtful run program didn buy purpose another definitely great welcome surprisewho buy anyone want light weight school travel home use email stream video take notes browse internet edit photos short videos photoshop premiere proas sidenote suspect issues beautiful ubiquitous memory hog google chrome not installed lot browsing doesn suggest looking browsers vivaldi offer advise matter use not specific,5.0 out of 5 stars,Yes,"Reviewed in the United States on January 24, 2022","{'neg': 0.063, 'neu': 0.866, 'pos': 0.07, 'compound': 0.835}",0.835,positive,5.0,2022-01-24,United States
Truthfullness does matter,great,treasure truck want new perfect timing really easy bigger long time college student much better large screen keyboard work not touch screen really like use video games point not main priority,1.0 out of 5 stars,Yes,"Reviewed in the United States on January 25, 2022","{'neg': 0.0, 'neu': 0.852, 'pos': 0.148, 'compound': 0.9139}",0.9139,positive,1.0,2022-01-25,United States
Karsten T. Brown,good value,buy wife teaches english small university zimbabwe loves doesn game doesn need super fast loves solid feel quick reactions far need,5.0 out of 5 stars,Yes,"Reviewed in the United States on February 8, 2022","{'neg': 0.0, 'neu': 0.817, 'pos': 0.183, 'compound': 0.8838}",0.8838,positive,5.0,2022-08-02,United States
Satranina Lane,great great price,need perfect zoom meetings screen quality great watch video resolution hd camera quality hd far better old died many years use since not build cddvd player light weight purchased external drive quite inexpensive glad buy,5.0 out of 5 stars,Yes,"Reviewed in the United States on May 14, 2022","{'neg': 0.042, 'neu': 0.797, 'pos': 0.161, 'compound': 0.8854}",0.8854,positive,5.0,2022-05-14,United States
ZimLarry,fits need,need cheap install kali fits fight turn bitlocker disable tpm jettison windows wish hp usb ports not really ethernet port cheap fortunately usb hubs cheap readily available,5.0 out of 5 stars,Yes,"Reviewed in the United States on January 4, 2022","{'neg': 0.048, 'neu': 0.902, 'pos': 0.05, 'compound': 0.0387}",0.0387,positive,5.0,2022-04-01,United States
LR in Missouri,greqt value,actually swapped costco screen huge process apeed okay not use positions keys thr keyboard letters shift leave additional number right side good quality satisfied qith,5.0 out of 5 stars,Yes,"Reviewed in the United States on February 23, 2022","{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.8585}",0.8585,positive,5.0,2022-02-23,United States
Stephen M. Gardner,letters number keyboard difficult read,complaint inch hp letters number keyboard difficult read buy keyboard cover black letters number read keys,5.0 out of 5 stars,Yes,"Reviewed in the United States on June 8, 2022","{'neg': 0.113, 'neu': 0.887, 'pos': 0.0, 'compound': -0.6115}",-0.6115,negative,5.0,2022-08-06,United States
Qi Chen,great starter,purchased dad christmas first great browsing internet playing solitaire absolutely loves highly recommend first timer want browse internet read online books not build gaming,5.0 out of 5 stars,Yes,"Reviewed in the United States on May 15, 2022","{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.9182}",0.9182,positive,5.0,2022-05-15,United States
Granny74,exceed expectations,buy university school let tell youit take jamming battery life long lasting add graphics quality exceptional absolutely issues fact buy son birthday definitely recommend,5.0 out of 5 stars,Yes,"Reviewed in the United States on February 13, 2022","{'neg': 0.044, 'neu': 0.855, 'pos': 0.101, 'compound': 0.5091}",0.5091,positive,5.0,2022-02-13,United States
Fuse,great money,thanks techno panda youtube review recommendation added another ram soon new works really restarts chrome browser opens handle demanding tasks like adobe photoshop premiere pro cc little delay,4.4 out of 5 stars,Yes,"Reviewed in the United States on February 12, 2022","{'neg': 0.052, 'neu': 0.791, 'pos': 0.156, 'compound': 0.744}",0.744,positive,4.4,2022-12-02,United States
Ginger,dont waste time money,ive less hours wi fi capacity vpn ethernet totally unacceptable dont waste time money spend hour phone hp representative hang wasnt able identify issue thankfully amazon refund money meantime buy working actually wi fi capability,5.0 out of 5 stars,Yes,"Reviewed in the United States on January 24, 2022","{'neg': 0.043, 'neu': 0.893, 'pos': 0.064, 'compound': 0.2228}",0.2228,positive,5.0,2022-01-24,United States
jondo,installing new bios hp updating windows update use works ok,sometimes write social media e mails ect use certain keys curser jumps back causing reset fault like previous slow impressed speed happy purchase feel worth money,1.0 out of 5 stars,Yes,"Reviewed in the United States on February 9, 2022","{'neg': 0.038, 'neu': 0.769, 'pos': 0.193, 'compound': 0.8709}",0.8709,positive,1.0,2022-09-02,United States
Ginger,huge bang buck,thin build quality nice great performance upgraded ram ,5.0 out of 5 stars,Yes,"Reviewed in the United States on January 24, 2022","{'neg': 0.0, 'neu': 0.699, 'pos': 0.301, 'compound': 0.7845}",0.7845,positive,5.0,2022-01-24,United States
Amazon Customer,great piece price, year old son school works great fast picture super speakers awesome excellent price comes,1.0 out of 5 stars,Yes,"Reviewed in the United States on May 20, 2022","{'neg': 0.0, 'neu': 0.594, 'pos': 0.406, 'compound': 0.9644}",0.9644,positive,1.0,2022-05-20,United States
Darin,love,need without pay high price nice look super thin light weight easy come windows ,5.0 out of 5 stars,Yes,"Reviewed in the United States on March 6, 2022","{'neg': 0.0, 'neu': 0.746, 'pos': 0.254, 'compound': 0.8718}",0.8718,positive,5.0,2022-06-03,United States
Heather Hendershott,wonderful use,love new hp quality advertised pleased,5.0 out of 5 stars,Yes,"Reviewed in the United States on April 26, 2022","{'neg': 0.0, 'neu': 0.723, 'pos': 0.277, 'compound': 0.8258}",0.8258,positive,5.0,2022-04-26,United States
Carol from Clinton,present,buy surprise grandaughter loves always liked mine want like best laptops owned,5.0 out of 5 stars,Yes,"Reviewed in the United States on March 22, 2022","{'neg': 0.0, 'neu': 0.638, 'pos': 0.362, 'compound': 0.936}",0.936,positive,5.0,2022-03-22,United States
Amazon Customer,happy daughter,college freshman daughter absolutely loves light carry around campus fast connections battery lasts class day not mention non class things facebook read streaming etc,5.0 out of 5 stars,Yes,"Reviewed in the United States on April 29, 2022","{'neg': 0.0, 'neu': 0.895, 'pos': 0.105, 'compound': 0.6785}",0.6785,positive,5.0,2022-04-29,United States
Maltese Mom,excelente,encantó pesada rápida tiene instado necesito anti virus recomiendo ,5.0 out of 5 stars,Yes,"Reviewed in the United States on April 6, 2022","{'neg': 0.209, 'neu': 0.791, 'pos': 0.0, 'compound': -0.5423}",-0.5423,negative,5.0,2022-06-04,United States
Fuse,great,great price wish larger ssd drive talked friends buy also,4.4 out of 5 stars,Yes,"Reviewed in the United States on February 12, 2022","{'neg': 0.0, 'neu': 0.669, 'pos': 0.331, 'compound': 0.872}",0.872,positive,4.4,2022-12-02,United States
Ginger,love,use personalbusiness use,5.0 out of 5 stars,Yes,"Reviewed in the United States on January 24, 2022","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral,5.0,2022-01-24,United States
Donald R. Langworthy Sr.,good price,good basic middle school aged daughter works happy,1.0 out of 5 stars,Yes,"Reviewed in the United States on February 16, 2022","{'neg': 0.0, 'neu': 0.694, 'pos': 0.306, 'compound': 0.765}",0.765,positive,1.0,2022-02-16,United States
Uncle Carlos Powell,great,fast efficient responds scrolling back top far excellent,5.0 out of 5 stars,Yes,"Reviewed in the United States on December 31, 2021","{'neg': 0.0, 'neu': 0.594, 'pos': 0.406, 'compound': 0.8737}",0.8737,positive,5.0,2021-12-31,United States
Dennis Cropper,great,price great need,5.0 out of 5 stars,Yes,"Reviewed in the United States on April 29, 2022","{'neg': 0.0, 'neu': 0.76, 'pos': 0.24, 'compound': 0.6249}",0.6249,positive,5.0,2022-04-29,United States
Jess Foglesong,dissappointed,buy replace current dell years old slowed considerably constantly loses wifi connection first year ago happen twice week happens minutes not wifi devices work fine download install updated drivers month ago made worse need reliable wifi job attend zoom teams meetings box impressed model speed connectivity take work show home not connect like able connect wifi vanished week old returning back dell,5.0 out of 5 stars,Yes,"Reviewed in the United States on December 22, 2021","{'neg': 0.037, 'neu': 0.882, 'pos': 0.081, 'compound': 0.775}",0.775,positive,5.0,2021-12-22,United States
abby,great budget,great price point think laptops touch screen pleased purchase,5.0 out of 5 stars,Yes,"Reviewed in the United States on May 27, 2022","{'neg': 0.0, 'neu': 0.742, 'pos': 0.258, 'compound': 0.807}",0.807,positive,5.0,2022-05-27,United States
Kindle Goddess,advanced ai system, days trading amazoncom symbol show st app web page realized build advanced ai system amazon collecting data buy habit many years suggesting never like human human mind many hued animal,5.0 out of 5 stars,Yes,"Reviewed in the United States on November 15, 2021","{'neg': 0.042, 'neu': 0.913, 'pos': 0.045, 'compound': -0.2059}",-0.2059,negative,5.0,2021-11-15,United States
Leo J. Ramos-DeGuzman,great basic easy,hp work like time replace old choose hp home use happy far not gamer use e mail internet tax preparation,1.0 out of 5 stars,Yes,"Reviewed in the United States on February 19, 2022","{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.7574}",0.7574,positive,1.0,2022-02-19,United States
Peonygarden,fairly good,far issues function buy daughter online school loves wish backlight keyboard issue great speed easy navigate,5.0 out of 5 stars,Yes,"Reviewed in the United States on January 14, 2022","{'neg': 0.081, 'neu': 0.676, 'pos': 0.244, 'compound': 0.8796}",0.8796,positive,5.0,2022-01-14,United States
Fuse,fast fast fast,much faster lots ram ssd bargain twice price,4.4 out of 5 stars,Yes,"Reviewed in the United States on February 12, 2022","{'neg': 0.0, 'neu': 0.924, 'pos': 0.076, 'compound': 0.3365}",0.3365,positive,4.4,2022-12-02,United States
Ginger,excellent quality,fast easy use advertised,5.0 out of 5 stars,Yes,"Reviewed in the United States on January 24, 2022","{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4926}",0.4926,positive,5.0,2022-01-24,United States
Monsoon,second purchased nice buy school,great buy kids love,1.0 out of 5 stars,Yes,"Reviewed in the United States on March 14, 2022","{'neg': 0.0, 'neu': 0.376, 'pos': 0.624, 'compound': 0.8519}",0.8519,positive,1.0,2022-03-14,United States
gtpammie,awesome,love far fast fast shipping,5.0 out of 5 stars,Yes,"Reviewed in the United States on February 4, 2022","{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.6369}",0.6369,positive,5.0,2022-04-02,United States
Mark A. Robertson,great value,nice ideal personal use business,5.0 out of 5 stars,Yes,"Reviewed in the United States on June 11, 2022","{'neg': 0.0, 'neu': 0.509, 'pos': 0.491, 'compound': 0.7755}",0.7755,positive,5.0,2022-11-06,United States
Karen K,good product great price,fast delivery packaged plenty fast speed ram sshd,5.0 out of 5 stars,Yes,"Reviewed in the United States on February 2, 2022","{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.2732}",0.2732,positive,5.0,2022-02-02,United States
Osvaldo J Morales,far good, weeks use good far ive hp laptops past good experiences think also good purchase,5.0 out of 5 stars,Yes,"Reviewed in the United States on December 24, 2021","{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.8271}",0.8271,positive,5.0,2021-12-24,United States
nomaam,like lot lenovo problems,like eas easy fire,5.0 out of 5 stars,Yes,"Reviewed in the United States on January 5, 2022","{'neg': 0.187, 'neu': 0.391, 'pos': 0.422, 'compound': 0.4588}",0.4588,positive,5.0,2022-05-01,United States
Janet,great price capable,gear fit finish know brand holds name,5.0 out of 5 stars,Yes,"Reviewed in the United States on June 4, 2022","{'neg': 0.0, 'neu': 0.632, 'pos': 0.368, 'compound': 0.7178}",0.7178,positive,5.0,2022-04-06,United States
Larry E. Mestas,good home recording,great plenty fast home recording latency months absolutely issues,5.0 out of 5 stars,Yes,"Reviewed in the United States on February 24, 2022","{'neg': 0.169, 'neu': 0.684, 'pos': 0.148, 'compound': 0.1045}",0.1045,positive,5.0,2022-02-24,United States
Aaron K. Schwarz,add nd upgrade ram easy add ssd spot,boots cold secondsexcellent gaming performance via steam csgofans spool loud state gaming keep gpu cpu coolsystem opens via normal philips screws plate exposing logic board wh lipo batteryonce inside machine find extra space second nvme drive second ram slot open upgrading easily ssd slot adding ssd machineexcellent inch hz screen dims nicely many color modes including low blue night modessound excellent vibration isolated rubber grommet mount speakers inside produce excellent volumes levels surprising base output size design utilizing kind volume optimized acoustically tuned housing enhance speakers output dynamic rangepower brick really warm system run playing video gamesbuild quality seems really good including heatpipe heatsink fin cooling system leave right rear blows hot air back unit near base display connects keyboard case air sucked keyboard gaming specific zones keep fingers cool dry playing esports etcvalue excellent given combo hardware build quality beat early battery life unsurprisingly mediocre given v mah lipo inside unit seems like hours browsing web edge hours battery playing csgo low settings really like user upgradable design easy open cleaning upgrading simple basic tools nearly philips style screw driver corner screw shorter length thank asuscomes easy remove bloatware factor drive really fast file transferswireless network performance exceptionally fast low latency maxes potential comcast xfinity servicevery light weight low mass lbs really amazing given size display making easily portable lighter move around excellent ergonomicsa keyboard number pad makes io pleasure though want use mouse gaming since gaming touchpad not ideal fast pace games ,4.6 out of 5 stars,Yes,"Reviewed in the United States on May 25, 2021","{'neg': 0.054, 'neu': 0.798, 'pos': 0.148, 'compound': 0.9923}",0.9923,positive,4.6,2021-05-25,United States
Kindle always,gamimg, star want gaming use play world warcraft shadowlandsit runs high performance not heat upif gamer,5.0 out of 5 stars,Yes,"Reviewed in the United States on September 7, 2021","{'neg': 0.0, 'neu': 0.902, 'pos': 0.098, 'compound': 0.4019}",0.4019,positive,5.0,2021-07-09,United States
Aaron K. Schwarz,performs fans not loud expected,read reviews expecting sound like take mach really not loud compare struggling older original ps pro whose fan overworked newer games sure not quiet means not nearly distracting anticipated performs pretty warm intensive gaming additional cooling pad underneath definitely weirdest thing plug unplug charger screen black couple seconds presumably due switching power settings shouldn issue gaming sessions course plugged performance anyway something wary charger cable starts internal memory isn huge buy additional tb ssd installed smoothly runs ffxiv without issues scored extremely high shadowbringers benchmark high endwalker benchmark good mmo gaming another couple years without upgrades,1.0 out of 5 stars,Yes,"Reviewed in the United States on May 25, 2021","{'neg': 0.038, 'neu': 0.822, 'pos': 0.14, 'compound': 0.971}",0.971,positive,1.0,2021-05-25,United States
Whitehot,asus tuf gaming f video issues right start,media not loaded livelihood years build many computers current custom water cooled tower storage middle movei need semi decently powered use rig stored away asus tuf catch attention decently powered not breaking bank first received pleasantly surprised speed nice sized screen updated drivers need patched osthe issue starts soon play mp video use player build media player use vlc ti gpu takes crap video awry attached video show not dealing brand new video issues right box back,5.0 out of 5 stars,Yes,"Reviewed in the United States on May 22, 2021","{'neg': 0.03, 'neu': 0.866, 'pos': 0.105, 'compound': 0.9144}",0.9144,positive,5.0,2021-05-22,United States
Tabatha S.,good gaming budget,issues far great price larger screen love upgrade ddr added secondary still room standard ssd wantthe upgrade wasn required upgrade something make bit future proof expand also use workeven upgrade price capable gaming machineplaying fallout upgrade use ultimate settings never slowed stutteredyou sometimes notice fans spin bit faster expected doesn hot find heavy expected build tough take bumps bangs keep goinglooks great notice fingerprintspalmprints leave marks quick wipe removes,5.0 out of 5 stars,Yes,"Reviewed in the United States on July 19, 2021","{'neg': 0.02, 'neu': 0.893, 'pos': 0.087, 'compound': 0.9039}",0.9039,positive,5.0,2021-07-19,United States
Kindle always,excellent,asus pay around years show age albeit still useable think need spend amount local guy recommended f voicing several distinct feature old oneone weight thickness old oneonce buy tb ssd double memory exterior dvd playerburner small accessories final configuration guy various design program along tons high res photos f plenty oomph digest starts blink eyethis worth dollar silly indeed pass first replacement,5.0 out of 5 stars,Yes,"Reviewed in the United States on September 7, 2021","{'neg': 0.0, 'neu': 0.968, 'pos': 0.032, 'compound': 0.4754}",0.4754,positive,5.0,2021-07-09,United States
Kindle Customer,best gaming price,awesome game weekend occasionally not mega nerd look fps games play know look awesome without hang ups kind couldn imagine gaming noticeably better graphics,1.0 out of 5 stars,Yes,"Reviewed in the United States on August 25, 2021","{'neg': 0.0, 'neu': 0.696, 'pos': 0.304, 'compound': 0.9571}",0.9571,positive,1.0,2021-08-25,United States
Holland1953,play job,play travel away actual gaming job perfectly generally really capable handles streaming gaming remote work calls np etci love lightweight quiet isthere initial problem deal breaker hadn easy solution wait k q current reality ew expac fans start haywire sooo loud heated unacceptable fix simply adjust maximum power state docking mere stop making insane noises return silent smooth state runs problem run games super easy fix know adjust means fix right lil battery icon hit power options next asus recommended power plan change plan settings change advanced power settings processor power management maximum power state reduce problem solved resume quiet beautiful fun,5.0 out of 5 stars,Yes,"Reviewed in the United States on November 29, 2021","{'neg': 0.052, 'neu': 0.791, 'pos': 0.157, 'compound': 0.98}",0.98,positive,5.0,2021-11-29,United States
Adam Ray Aaron,love,gaming boyfriend helped pick amazing deal value price honestly amazing graphics incredible battery life pretty long overall quality perfect,5.0 out of 5 stars,Yes,"Reviewed in the United States on September 6, 2021","{'neg': 0.0, 'neu': 0.656, 'pos': 0.344, 'compound': 0.9633}",0.9633,positive,5.0,2021-06-09,United States
Red,great specs money pay,say read negative reviews product quite afraid damaged piece delivery arrive perfect condition satisfied packaging delivery time condition packagesecondly good games market though know work high core games present market nowadays games like works super fast quite satisfied thatand thirdly importantly also use work purposes run multiple software time quite demanding system performing quite excellently function welloverall satisfied amount money pay specs return,5.0 out of 5 stars,Yes,"Reviewed in the United States on January 8, 2022","{'neg': 0.047, 'neu': 0.782, 'pos': 0.171, 'compound': 0.9715}",0.9715,positive,5.0,2022-08-01,United States
Aaron K. Schwarz,price right,want gaming not tied xbox game pass personally not fan plus winwas worth ram not exactly leached background not hinder gameplay much ive played far lag leave processes like steam run background worth lighting not bad quite selection thing ok win win worth gpu inconclusive first outing gaming laptops certain memory seem help bit extra gigs vram better hell gigs ram physical memory say processor job do ive tried love fact anti dust fan technology lose laptops overheated caked dust cpu worth refresh rate kinda base refresh rate pretty neat,4.6 out of 5 stars,Yes,"Reviewed in the United States on May 25, 2021","{'neg': 0.077, 'neu': 0.678, 'pos': 0.245, 'compound': 0.9912}",0.9912,positive,4.6,2021-05-25,United States
Kindle always,great option want good gaming added benefit multi tasking,buy play fps game exceeded expectations gaming machine boots almost instantly computing power run multiple apps time hasn given issue far buy month ago complaints give time reviewed months,5.0 out of 5 stars,Yes,"Reviewed in the United States on September 7, 2021","{'neg': 0.0, 'neu': 0.935, 'pos': 0.065, 'compound': 0.5659}",0.5659,positive,5.0,2021-07-09,United States
Jabir Wilson,grandson loves,gift grandson picked considerable research use school gaming says works perfectly exactly want loves,1.0 out of 5 stars,Yes,"Reviewed in the United States on June 10, 2022","{'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0.9169}",0.9169,positive,1.0,2022-10-06,United States
Kevin Ressler,excelente calidad precio,compré uso personal actualmente uso jugar mismo tiempo trabajo uso programas edición videos arquitectura renderizado algunas cosas verdad ha defraudado ni calidad mis trabajos como rendimiento mis juegos usado fortnite rocket league league legends sé son juegos mayor demanda gráfica pero menos ha servido incluso más esperado precio compré gusta sea ligera verdad muy ligera ser gamer puedo llevar sin problemas donde quiera siempre rinde único visto obviamente condición juegos te durará mucho si usas batería esta sí sí tienes jugar conectada enchufe si quieres mejor rendimiento juegos también aplicaciones programas trabajo como yo uso general buena trabajar jugar ratos libres opinión totalmente merece estrellas debido tan buena calidad precio totalmente asequible caso cuando llegó agregué módulo adicional memoria ram necesite sólo condiciones trabajo investigación yo suelo usar muchas pestañas google chrome abiertas como esperar eso consume mucha memoria ram mas todos programas tengo abiertos entonces mantener fluidez trabajo decidí aumentar ram pero si vas usar sólo jugar más suficiente viene además viene velocidad mhz cual bueno encima media demás ,5.0 out of 5 stars,Yes,"Reviewed in the United States on January 26, 2022","{'neg': 0.045, 'neu': 0.947, 'pos': 0.008, 'compound': -0.876}",-0.876,negative,5.0,2022-01-26,United States
ELH,great gaming,really smooth play videogames really love wasnt expecting much price really good gaming gamer looking cheap gaming wont regret itthe hz screen plus uprgrade ram add another memory drive really easeyou wont regret purchase,5.0 out of 5 stars,Yes,"Reviewed in the United States on October 13, 2021","{'neg': 0.018, 'neu': 0.795, 'pos': 0.187, 'compound': 0.9416}",0.9416,positive,5.0,2021-10-13,United States
Marcos Gastón,beautiful,buy wife work home extremely fast quiet nice,5.0 out of 5 stars,Yes,"Reviewed in the United States on April 16, 2022","{'neg': 0.0, 'neu': 0.829, 'pos': 0.171, 'compound': 0.4754}",0.4754,positive,5.0,2022-04-16,United States
Alberto M,mistake,partially fault want skimp pay price works fine werent non working screen almost new productit perfect missing packaging fine think couldnt wrongshipping take forever days ship arrive week halfas soon pressed power button leds turn keyboard lights display black display nothingnessi furious call asus support tell send back way hell aint pay shipping defective product call amazon say theyll refund buy brand new acer nitro instead im scared defective,5.0 out of 5 stars,Yes,"Reviewed in the United States on November 20, 2021","{'neg': 0.166, 'neu': 0.759, 'pos': 0.075, 'compound': -0.9752}",-0.9752,negative,5.0,2021-11-20,United States
guitar man,cumple trabajo adaptador del cargador calienta demaciado,media not loaded tiene buena calidad imagen gusta mucho tamaño teclas sienten rígidas tiene patrón luz muy hermoso compre jugar age empires funciona bien teniendo cuenta tengo hace días pareció económica aunque encontré precios más económicos otros lugares luego comprarla único medio malo batería dura muy poco cargador calienta demaciado debes tener cuidado dónde pones adaptador puede causar daños mallores,5.0 out of 5 stars,Yes,"Reviewed in the United States on October 2, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral,5.0,2021-10-02,United States
Chri,awesome labtop,nice money wont disappointed,5.0 out of 5 stars,Yes,"Reviewed in the United States on September 23, 2021","{'neg': 0.0, 'neu': 0.586, 'pos': 0.414, 'compound': 0.6855}",0.6855,positive,5.0,2021-09-23,United States
Chri,great first time buyer,good never build buy gaming pclaptop perfect start anyone looking decent also good streaming game development laggy time time nothing major track pad isn best sometimes gives issues definitely recommend mouse battery life not best sure good great buy price,1.0 out of 5 stars,Yes,"Reviewed in the United States on June 26, 2021","{'neg': 0.085, 'neu': 0.662, 'pos': 0.253, 'compound': 0.9517}",0.9517,positive,1.0,2021-06-26,United States
Aaron K. Schwarz,mostly alright except webcam,say issues wi fi adapter battery alright since planning buy wi fi adapter anyways use wall power time issue actually problem webcam randomly connects disconnects though disconnected time says camera disabled camera failed connect try turn google meet stuff worst part non solutions see internet fixed usually f camera disableenable asus locking unlocking touchpad frustrating since trying fix issue since month still avail,4.6 out of 5 stars,Yes,"Reviewed in the United States on May 25, 2021","{'neg': 0.089, 'neu': 0.892, 'pos': 0.019, 'compound': -0.8954}",-0.8954,negative,4.6,2021-05-25,United States
Kindle always,powerful,seriously powerful seems hot not internal temp fine steady heavy load shell helps dissipate heat seems hot not read reviews thats complaint fan noise find normal think quiet compare similar powerhouses pair cooling dock station run day without hot use afmat use seal push air laptops cooling system fan shroud cooling docks need gobs loud air,5.0 out of 5 stars,Yes,"Reviewed in the United States on September 7, 2021","{'neg': 0.033, 'neu': 0.846, 'pos': 0.121, 'compound': 0.8625}",0.8625,positive,5.0,2021-07-09,United States
adil,awesome,media not loaded awesome great camera good gaming,1.0 out of 5 stars,Yes,"Reviewed in the United States on February 16, 2022","{'neg': 0.0, 'neu': 0.612, 'pos': 0.388, 'compound': 0.908}",0.908,positive,1.0,2022-02-16,United States
RYU K.,buy year old play games,loves runs minecraft cs like dream planning adding ram purchased honestly run games fine,5.0 out of 5 stars,Yes,"Reviewed in the United States on July 15, 2021","{'neg': 0.0, 'neu': 0.696, 'pos': 0.304, 'compound': 0.8689}",0.8689,positive,5.0,2021-07-15,United States
Karen Lacourse,great great price,outstanding picture brightness sound great inch screen easy use price excellent quality video playback crisp overall satisfied,5.0 out of 5 stars,Yes,"Reviewed in the United States on December 29, 2021","{'neg': 0.0, 'neu': 0.521, 'pos': 0.479, 'compound': 0.9719}",0.9719,positive,5.0,2021-12-29,United States
Matthew Rogers,like much ,really love new play new world time upgrade us glad,5.0 out of 5 stars,Yes,"Reviewed in the United States on December 27, 2021","{'neg': 0.0, 'neu': 0.673, 'pos': 0.327, 'compound': 0.8803}",0.8803,positive,5.0,2021-12-27,United States
Bruce Snell,good little gaming bad battery life,first let say version ti not mine also includes webcam rgb keyboard num pad slim version not thisnow buy replace old daily driver miles better terms image quality gpu power screen refresh soundi use daily since buy added tb ssd storage upgraded ram included dropped refresh rate hz help battery life lateras far gaming able run throw max settings fallout runs solid fps capped strange reason max settings gears runs fps capped max settings environment snow particles ips display games look super good huge upgrade previous laptops tn display colors absolutely crisp deepthe sound quality decent not studio music quality definitely decent gaming without noticeable clipping issues able discern bass mid treble without lot muddiness obviously not perfect speakers given restriction say wellnow complaint battery life nowhere near advertised old adjusted settings reached hours settings reaches playing game lucky hit hour not play battery higher graphic quality higher keep refresh rate like native hz worse dropping refresh playing game doesn require ti still hour watch videos longer still hours give takeoverall good purchase provided want plugged time,5.0 out of 5 stars,Yes,"Reviewed in the United States on June 3, 2021","{'neg': 0.037, 'neu': 0.87, 'pos': 0.093, 'compound': 0.9437}",0.9437,positive,5.0,2021-03-06,United States
L. Ball,pretty sweet,not best high gaming still solid workstation indeed upgradability external graphics card nice starter rig,5.0 out of 5 stars,Yes,"Reviewed in the United States on May 25, 2022","{'neg': 0.125, 'neu': 0.698, 'pos': 0.178, 'compound': 0.3952}",0.3952,positive,5.0,2022-05-25,United States
